Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,Outliers
Train,Pedestrian Total,Standard,KNN,0.5,1968043.206,886.2129275,96%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,NA,Pandas,0.1,806447.8968,619.8800714,96%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Test,Pedestrian Total,NA,KNN,0.3,510894.6939,509.2306448,96%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Test,Pedestrian Total,NA,KNN,0.3,569545.4632,510.2905775,95%,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Removed
Train,Pedestrian Total,Standard,Pandas,0.3,986008.8317,687.6470437,95%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 50}",Removed
Train,Pedestrian Total,Standard,KNN,0.5,1069705.663,741.548601,95%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Removed
Train,Pedestrian Total,Standard,KNN,0.1,1750963.658,938.1894842,95%,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Removed
Train,Pedestrian Total,NA,KNN,0.1,1750964.067,938.159845,95%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.3,1993883.955,1009.70261,95%,Ridge,"{'normalize': False, 'alpha': 0.1}",Not Removed
Train,Pedestrian Total,NA,KNN,0.3,1993884.664,1009.661993,95%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Train,Pedestrian Total,Standard,Pandas,0.5,1090270.454,746.0592387,95%,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Test,Pedestrian Total,NA,KNN,0.5,593002.3859,557.0506806,95%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Train,Pedestrian Total,Standard,Pandas,0.3,2059129.301,1036.280082,95%,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Removed
Train,Pedestrian Total,NA,Pandas,0.3,2059138.264,1036.248285,95%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.1,978145.1462,681.7532526,95%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 40}",Removed
Train,Pedestrian Total,NA,KNN,0.5,2411691.367,1135.309154,95%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.5,2411873.649,1135.066276,95%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
