Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance,Outliers
Train,Pedestrian Total,Standard,KNN,0.1,1750963.658,938.1894842,0.951004393,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Available,Not Removed
Test,Pedestrian Total,Standard,KNN,0.1,970563.6306,756.6462861,0.920389523,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.1,4527967.822,1682.420412,0.742849076,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,Pandas,0.1,1880300.57,992.329256,0.947385277,Ridge,"{'normalize': False, 'alpha': 0.01}",Not Available,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.1,1504126.848,890.387259,0.876624002,Ridge,"{'normalize': False, 'alpha': 0.01}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,4811170.62,1718.296653,0.726765512,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,NA,KNN,0.5,185823.822,269.8800958,0.996036354,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}","[0.09976388428886111 0.09487951324470013 0.10610216352938359
 0.03517966196996785 0.01478549582480378 0.01972668329812389
 0.004388518595603788 0.01337517062479335 0.0023441041883777774
 0.012812643593148943 0.011143120436305795 0.011213790285057772
 0.009022328371885874 0.015047692713937801 0.02877793501049785
 0.02001596980180649 0.41707346356812597 0.0007656501247954952
 0.0008264957551635732 0.0035226271094682435 0.003468363764679424
 0.006140281947555149 0.05725349346092782 0.0015765889697437253
 0.010794359522284929]",Not Removed
Test,Pedestrian Total,NA,KNN,0.5,2635471.452,1236.588809,0.793946125,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}","[0.09976388428886111 0.09487951324470013 0.10610216352938359
 0.03517966196996785 0.01478549582480378 0.01972668329812389
 0.004388518595603788 0.01337517062479335 0.0023441041883777774
 0.012812643593148943 0.011143120436305795 0.011213790285057772
 0.009022328371885874 0.015047692713937801 0.02877793501049785
 0.02001596980180649 0.41707346356812597 0.0007656501247954952
 0.0008264957551635732 0.0035226271094682435 0.003468363764679424
 0.006140281947555149 0.05725349346092782 0.0015765889697437253
 0.010794359522284929]",Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,38683057.99,4800.355428,-1.196876059,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.5,169764.6961,258.7707493,0.996378897,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}","[0.11428095275624875 0.08865894641597735 0.11416265347926507
 0.03272071797235581 0.014318344392968448 0.019942852673865252
 0.005177670474112949 0.015378892068965564 0.0024366403289478957
 0.01345057616915578 0.011589370204821373 0.010869234180888605
 0.012765378200298787 0.017176055114594295 0.025054896556997785
 0.02447483847457399 0.39364371785362035 0.0008768125632737759
 0.000928850870572471 0.004159110013614268 0.0036617120029519006
 0.005861493492962566 0.056324301609468844 0.0014479788017995956
 0.01063800332769847]",Not Removed
