Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance
Test,Cycle Total,NA,KNN,0.1,54.77173811965811,4.860524216524217,0.9946397164899574,RandomForest,"{'n_estimators': 50, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}","[0.026310207247366504 0.04039531846462618 0.004744750681552616
 0.0075302470682779435 0.002749025497881386 0.0022607072936283532
 0.003789190057881346 0.009547773146928208 0.014193518039893176
 0.008777400127258462 0.003779873562066483 0.01649979007073134
 0.027592109006013582 0.004889672328548066 0.006293914042838816
 0.015693125149879254 0.007416706543869771 0.009683699670431282
 0.11994824073695938 0.00020456781385265284 0.0013507474745643672
 0.000942237308418437 0.0008361697709075077 0.0012017806907389514
 0.0012011328627273788 0.0032908008984040378 0.0827586554895505
 0.0008682424813223402 0.00036523186275070935 0.28859099018412704
 0.022208056100325592 0.054290723350437824 0.04949341542303408
 0.013791114387799997 0.1465108651644063]"
Validation Data,Cycle Total,NA,KNN,0.1,16777.041225159814,92.97982876712328,-0.8584473098530172,RandomForest,NA,NA
Train,Cycle Total,NA,Pandas,0.1,0.0,0.0,1.0,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.02251665250008891 0.030873382518366226 0.0028476488773421468
 0.006852983549832489 0.0017213911352982722 0.0020659487932237807
 0.002300100622551475 0.01028617178889268 0.022621612597209118
 0.02055545504185476 0.002568786091346778 0.011426870768998646
 0.02709358187639238 0.004290661626190847 0.010132075285277977
 0.010324133927659677 0.005821381546560567 0.01122638198468113
 0.07340653865422411 0.00020096659464897444 0.0014724979239669328
 0.0007900151387860367 0.0008050606496975024 0.0010234033105748358
 0.00105477180678007 0.0033733478145660566 0.07023080966386509
 0.0006603737688908191 0.00034716871955178146 0.3611845371148515
 0.014372277851704205 0.04883113368359358 0.06753881019570013
 0.013287951684579191 0.13589511489225148]"
Test,Cycle Total,NA,Pandas,0.1,38.54443299145299,4.165988603988604,0.9962278157374401,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}","[0.02251665250008891 0.030873382518366226 0.0028476488773421468
 0.006852983549832489 0.0017213911352982722 0.0020659487932237807
 0.002300100622551475 0.01028617178889268 0.022621612597209118
 0.02055545504185476 0.002568786091346778 0.011426870768998646
 0.02709358187639238 0.004290661626190847 0.010132075285277977
 0.010324133927659677 0.005821381546560567 0.01122638198468113
 0.07340653865422411 0.00020096659464897444 0.0014724979239669328
 0.0007900151387860367 0.0008050606496975024 0.0010234033105748358
 0.00105477180678007 0.0033733478145660566 0.07023080966386509
 0.0006603737688908191 0.00034716871955178146 0.3611845371148515
 0.014372277851704205 0.04883113368359358 0.06753881019570013
 0.013287951684579191 0.13589511489225148]"
Validation Data,Cycle Total,NA,Pandas,0.1,16101.932899589041,91.00114611872145,-0.7836633694264521,RandomForest,NA,NA
Train,Cycle Total,Standard,KNN,0.5,0.06079244242694937,0.1424389737418512,0.999998388607416,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}","[0.018257656663878644 0.03200272352423688 0.0025384367853425846
 0.0039009281303421187 0.0022049333461198646 0.003041352165338832
 0.00010440159614665115 0.009408869231278373 0.008564333727122527
 0.016686831757560264 0.0032263805480536043 0.01831561465911813
 0.019728630538226172 0.003784316595869747 0.0061060345085911134
 0.01006643867589296 0.004557579740519698 0.010184791646517862
 0.06277117321372903 0.00033409057030859304 0.0014297726312658223
 0.0009008095000531615 0.0009110607240860652 0.0012249321967613795
 0.0011224933886709117 0.003678001555241976 0.07588446717521788
 0.001197231618170777 0.00042882551222231966 0.33512370166396954
 0.022797865235376493 0.030338463447405147 0.07297112939699717
 0.020107484902713243 0.19609824342765458]"
Test,Cycle Total,Standard,KNN,0.5,409.709300086547,14.020519534745084,0.973081371742875,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}","[0.018257656663878644 0.03200272352423688 0.0025384367853425846
 0.0039009281303421187 0.0022049333461198646 0.003041352165338832
 0.00010440159614665115 0.009408869231278373 0.008564333727122527
 0.016686831757560264 0.0032263805480536043 0.01831561465911813
 0.019728630538226172 0.003784316595869747 0.0061060345085911134
 0.01006643867589296 0.004557579740519698 0.010184791646517862
 0.06277117321372903 0.00033409057030859304 0.0014297726312658223
 0.0009008095000531615 0.0009110607240860652 0.0012249321967613795
 0.0011224933886709117 0.003678001555241976 0.07588446717521788
 0.001197231618170777 0.00042882551222231966 0.33512370166396954
 0.022797865235376493 0.030338463447405147 0.07297112939699717
 0.020107484902713243 0.19609824342765458]"
Validation Data,Cycle Total,Standard,KNN,0.5,8025.0600173781995,60.274135621433444,0.11103805489019092,RandomForest,NA,NA
Train,Cycle Total,Standard,Pandas,0.5,0.0,0.0,1.0,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}","[0.015345656173531386 0.03470493068471802 0.0031937116553118943
 0.003311570168115278 0.0021330272806192245 0.0030204804940873603
 0.0001704766465823331 0.00738292480297223 0.010798235127287075
 0.013273253987661824 0.003225640485941457 0.021800232775188985
 0.034303482341683254 0.004630983996203529 0.006520873475114486
 0.010645034002470419 0.0038960733675593388 0.007267121744874553
 0.0728242699328283 0.00031579938814558524 0.001725533825844768
 0.0009817548501403317 0.0010375508068462672 0.0011906951406649958
 0.0011080944876628574 0.006440506303609791 0.06482390878272644
 0.0010213239916222361 0.00039474154084978395 0.32570908833043694
 0.01776909218600501 0.02644311373449877 0.07972880370183882
 0.019614875190000956 0.1932471385963555]"
Test,Cycle Total,Standard,Pandas,0.5,454.5394735522115,14.512188782489739,0.9701359497718097,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}","[0.015345656173531386 0.03470493068471802 0.0031937116553118943
 0.003311570168115278 0.0021330272806192245 0.0030204804940873603
 0.0001704766465823331 0.00738292480297223 0.010798235127287075
 0.013273253987661824 0.003225640485941457 0.021800232775188985
 0.034303482341683254 0.004630983996203529 0.006520873475114486
 0.010645034002470419 0.0038960733675593388 0.007267121744874553
 0.0728242699328283 0.00031579938814558524 0.001725533825844768
 0.0009817548501403317 0.0010375508068462672 0.0011906951406649958
 0.0011080944876628574 0.006440506303609791 0.06482390878272644
 0.0010213239916222361 0.00039474154084978395 0.32570908833043694
 0.01776909218600501 0.02644311373449877 0.07972880370183882
 0.019614875190000956 0.1932471385963555]"
