Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params
Validation Data,Pedestrian Total,Standard,KNN,0.1,1691730.242,980.5739074,0.903923788,KNN,NA
Train,Cycle Total,NA,Pandas,0.1,2911.490316,28.20283742,0.898107072,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}"
Train,Cycle Total,NA,KNN,0.1,2919.218833,28.27150548,0.897836599,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}"
Validation Data,Pedestrian Total,Standard,Pandas,0.1,1810554.83,1015.024178,0.89717554,KNN,NA
Train,Cycle Total,NA,KNN,0.3,3427.878479,30.44174267,0.894194343,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}"
Train,Cycle Total,NA,Pandas,0.3,3428.397202,30.43750814,0.894178332,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}"
Test,Cycle Total,Standard,Pandas,0.1,1182.669379,22.28524217,0.884257039,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}"
Test,Pedestrian Total,Standard,KNN,0.3,1416425.475,913.3198003,0.883023777,KNN,"{'p': 2, 'n_neighbors': 7, 'leaf_size': 20}"
Validation Data,Pedestrian Total,Standard,KNN,0.5,2065102.798,1117.238594,0.882719332,RandomForest,NA
Validation Data,Pedestrian Total,Standard,KNN,0.3,2065696.391,1146.782463,0.88268562,RandomForest,NA
Validation Data,Pedestrian Total,Standard,Pandas,0.5,2066028.855,1116.002243,0.882666739,RandomForest,NA
Validation Data,Pedestrian Total,Standard,Pandas,0.1,2080777.119,1147.234362,0.88182916,RandomForest,NA
Validation Data,Pedestrian Total,Standard,Pandas,0.3,2091321.922,1146.955881,0.881230303,RandomForest,NA
Test,Pedestrian Total,Standard,Pandas,0.3,1438324.701,920.6254179,0.881215218,KNN,"{'p': 2, 'n_neighbors': 5, 'leaf_size': 50}"
Validation Data,Pedestrian Total,Standard,KNN,0.1,2320487.591,1179.674292,0.868215599,RandomForest,NA
Validation Data,Pedestrian Total,Standard,KNN,0.3,2323453.326,1120.824266,0.86804717,KNN,NA
Validation Data,Pedestrian Total,Standard,Pandas,0.3,2438324.439,1150.292671,0.861523446,KNN,NA
Validation Data,Pedestrian Total,Standard,Pandas,0.5,2544136.006,1183.308539,0.855514228,KNN,NA
Validation Data,Pedestrian Total,Standard,KNN,0.5,2545706.017,1184.330297,0.855425065,KNN,NA
Validation Data,Pedestrian Total,Standard,KNN,0.1,2665659.415,1331.122513,0.848612709,Ridge,NA
Validation Data,Pedestrian Total,Standard,KNN,0.5,2665685.787,1331.128295,0.848611211,Ridge,NA
Validation Data,Pedestrian Total,Standard,KNN,0.3,2665685.826,1331.128302,0.848611209,Ridge,NA
Validation Data,Pedestrian Total,Standard,Pandas,0.1,2665738.66,1331.13954,0.848608209,Ridge,NA
Validation Data,Pedestrian Total,Standard,Pandas,0.3,2669281.241,1331.909604,0.84840702,Ridge,NA
Validation Data,Pedestrian Total,Standard,Pandas,0.5,2669646.844,1331.988926,0.848386256,Ridge,NA
Test,Cycle Total,Standard,KNN,0.1,1631.713344,27.29255189,0.840310963,KNN,"{'p': 2, 'n_neighbors': 7, 'leaf_size': 40}"
Train,Cycle Total,NA,KNN,0.5,6129.021495,41.99257866,0.837541323,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}"
Train,Cycle Total,NA,Pandas,0.5,6136.533051,42.01181031,0.837342218,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}"
Test,Cycle Total,Standard,Pandas,0.3,2283.322844,32.52309488,0.832944325,KNN,"{'p': 2, 'n_neighbors': 7, 'leaf_size': 20}"
Test,Cycle Total,Standard,KNN,0.3,2382.793363,33.19526162,0.825666724,KNN,"{'p': 2, 'n_neighbors': 7, 'leaf_size': 50}"
Test,Cycle Total,NA,Pandas,0.1,1803.612809,27.21868946,0.823487873,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}"
Test,Cycle Total,NA,KNN,0.1,1921.573858,28.22985755,0.811943513,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}"
Test,Cycle Total,NA,Pandas,0.3,2775.991847,32.7324848,0.796898984,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}"
Test,Cycle Total,NA,KNN,0.3,2826.692044,33.04692249,0.793189584,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}"
Test,Pedestrian Total,Standard,KNN,0.5,2717946.404,1105.60814,0.787497835,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}"
Test,Pedestrian Total,Standard,Pandas,0.5,2720568.648,1106.702485,0.787292815,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}"
Test,Cycle Total,Standard,KNN,0.5,4019.083685,43.26271904,0.735939068,KNN,"{'p': 2, 'n_neighbors': 7, 'leaf_size': 20}"
Test,Cycle Total,Standard,Pandas,0.5,4058.395286,43.34484724,0.733356226,KNN,"{'p': 2, 'n_neighbors': 7, 'leaf_size': 30}"
Test,Cycle Total,NA,Pandas,0.5,5292.072036,47.24758322,0.652301474,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}"
Test,Cycle Total,NA,KNN,0.5,5389.199071,47.81601687,0.645920055,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}"
Validation Data,Cycle Total,Standard,Pandas,0.5,3741.435912,39.25523483,0.585549,KNN,NA
Validation Data,Cycle Total,Standard,KNN,0.5,3848.011087,40.42725049,0.573743322,KNN,NA
Validation Data,Cycle Total,Standard,KNN,0.3,4071.567557,39.74849967,0.548979247,KNN,NA
Validation Data,Cycle Total,Standard,Pandas,0.3,4119.330503,40.04695042,0.54368839,KNN,NA
Validation Data,Cycle Total,Standard,KNN,0.1,4126.657672,40.51244292,0.542876736,KNN,NA
Validation Data,Cycle Total,Standard,Pandas,0.1,4630.675384,42.04038813,0.487045058,KNN,NA
Validation Data,Cycle Total,Standard,KNN,0.5,6201.372045,57.25556115,0.313053891,Ridge,NA
Validation Data,Cycle Total,Standard,Pandas,0.5,6203.71387,57.27365761,0.312794479,Ridge,NA
Validation Data,Cycle Total,Standard,KNN,0.3,6203.937812,57.27453222,0.312769672,Ridge,NA
Validation Data,Cycle Total,Standard,KNN,0.1,6203.939999,57.27454743,0.31276943,Ridge,NA
Validation Data,Cycle Total,Standard,Pandas,0.3,6203.958379,57.27471651,0.312767394,Ridge,NA
Validation Data,Cycle Total,Standard,Pandas,0.1,6203.959057,57.27471959,0.312767319,Ridge,NA
Validation Data,Cycle Total,Standard,KNN,0.1,7602.941678,58.64910739,0.157797473,RandomForest,NA
Validation Data,Cycle Total,Standard,Pandas,0.1,7782.256692,60.08394642,0.137934167,RandomForest,NA
Validation Data,Cycle Total,Standard,Pandas,0.3,7898.626864,60.68115662,0.125043466,RandomForest,NA
Validation Data,Cycle Total,Standard,KNN,0.5,8153.675206,59.98923122,0.096790933,RandomForest,NA
Validation Data,Cycle Total,Standard,KNN,0.3,8175.925812,59.61042025,0.094326161,RandomForest,NA
Validation Data,Cycle Total,Standard,Pandas,0.5,8260.463545,61.90707477,0.084961642,RandomForest,NA
Validation Data,Cycle Total,NA,KNN,0.5,15362.02588,88.59231296,-0.701701467,RandomForest,NA
Validation Data,Cycle Total,NA,Pandas,0.5,15446.13451,88.90578311,-0.711018454,RandomForest,NA
Validation Data,Cycle Total,NA,Pandas,0.3,15858.1019,89.96410388,-0.756653418,RandomForest,NA
Validation Data,Cycle Total,NA,KNN,0.3,15919.78999,90.35841701,-0.763486808,RandomForest,NA
Validation Data,Cycle Total,NA,KNN,0.1,17327.76263,94.79840921,-0.919452508,RandomForest,NA
Validation Data,Cycle Total,NA,KNN,0.5,17556.205,95.56353881,-0.94475781,KNN,NA
Validation Data,Cycle Total,NA,Pandas,0.5,17556.205,95.56353881,-0.94475781,KNN,NA
Validation Data,Cycle Total,NA,Pandas,0.1,17644.19423,95.78825685,-0.954504663,RandomForest,NA
Validation Data,Cycle Total,NA,Pandas,0.3,18402.31632,98.45742009,-1.038484308,KNN,NA
