Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance,Outliers
Train,Pedestrian Total,Standard,KNN,0.1,1742587.677081526,935.311689742679,0.9512387702605205,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Available,Not Removed
Test,Pedestrian Total,Standard,KNN,0.1,956323.8225990674,749.8674657855812,0.9215575430116474,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.1,4512475.841394959,1680.5192211851097,0.7437288917223488,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Standard,Pandas,0.1,1880300.5695779666,992.3292560136163,0.9473852769313622,Ridge,"{'normalize': False, 'alpha': 0.01}",Not Available,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.1,1504126.8481548307,890.387258986146,0.8766240024526952,Ridge,"{'normalize': False, 'alpha': 0.01}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.1,4811170.620155681,1718.2966526380749,0.726765511821772,Ridge,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,KNN,0.5,407795.2063089219,463.8264313691156,0.9913016760295993,RandomForest,"{'n_estimators': 2000, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}","[0.019150850627367624 0.10846757835807523 0.037157117525898016
 0.00142232695256207 0.013663840743639775 0.0014926159003851487
 0.0005446625437822916 0.001207431237912662 0.00036108637730612953
 0.0026900502353693393 0.0006343656410881308 0.0005525391792132506
 0.0009858657325232246 0.0014548978078042932 0.000863400291750157
 0.002401659090618249 0.7974759565779541 0.00012538012898673774
 0.00012704648108005762 0.002551742150861814 0.0025396034405609025
 9.605885167705572e-05 0.0034988779621392685 8.456772005235767e-05
 0.0004504784413923356]",Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.5,1129388.1314897994,757.8337474386195,0.9116989861736885,RandomForest,"{'n_estimators': 2000, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}","[0.019150850627367624 0.10846757835807523 0.037157117525898016
 0.00142232695256207 0.013663840743639775 0.0014926159003851487
 0.0005446625437822916 0.001207431237912662 0.00036108637730612953
 0.0026900502353693393 0.0006343656410881308 0.0005525391792132506
 0.0009858657325232246 0.0014548978078042932 0.000863400291750157
 0.002401659090618249 0.7974759565779541 0.00012538012898673774
 0.00012704648108005762 0.002551742150861814 0.0025396034405609025
 9.605885167705572e-05 0.0034988779621392685 8.456772005235767e-05
 0.0004504784413923356]",Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.5,52058793.611101024,5876.245619664151,-1.9565066281197336,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,Pandas,0.5,134383.9563052806,238.24894931021433,0.9971335730035973,RandomForest,"{'n_estimators': 100, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}","[0.019536722528161837 0.10876189417277374 0.03691647134694853
 0.0018270859321468705 0.015012141202957165 0.0020075922632081964
 0.0008961634944583878 0.0015693452661819157 0.000494707757857107
 0.0032770074744672435 0.0009524290700204835 0.0008848687256122637
 0.0014514119681809212 0.00207553778027504 0.0012186989686229928
 0.0032731149832931424 0.7899236403197265 0.00022393464182074864
 0.00019641168260277865 0.0023786328840826733 0.002637045728340376
 0.000171272088228326 0.003604743088687824 0.00014039538620833964
 0.0005687312451366264]",Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.5,5676640.56631038,2056.297746512117,0.5561728486808516,RandomForest,"{'n_estimators': 100, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}","[0.019536722528161837 0.10876189417277374 0.03691647134694853
 0.0018270859321468705 0.015012141202957165 0.0020075922632081964
 0.0008961634944583878 0.0015693452661819157 0.000494707757857107
 0.0032770074744672435 0.0009524290700204835 0.0008848687256122637
 0.0014514119681809212 0.00207553778027504 0.0012186989686229928
 0.0032731149832931424 0.7899236403197265 0.00022393464182074864
 0.00019641168260277865 0.0023786328840826733 0.002637045728340376
 0.000171272088228326 0.003604743088687824 0.00014039538620833964
 0.0005687312451366264]",Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.5,51721655.517307006,5847.148993150685,-1.9373599875667509,RandomForest,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,KNN,0.3,115319.86872648867,216.95099553436887,0.9971583469229272,RandomForest,"{'n_estimators': 1000, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}","[0.013663812726273898 0.09252300633382836 0.04205437491139386
 0.0022166591996825025 0.016735888977161238 0.0022245635617917188
 0.0008806478360030293 0.0018491577170662563 0.0003916016172811776
 0.0022232696181962086 0.0008825906196613933 0.000766505633947404
 0.0014994493093370893 0.0018501165024298178 0.0012400191940059356
 0.0036793631066518295 0.8091941888735071 0.00023344378870530504
 0.0002234698243043373 0.001988922584107486 0.001969884271140276
 0.00020965001993778601 0.0010928301038738556 0.00016807719491947383
 0.00023850647479262702]",Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.3,511363.4199844605,496.4323181262847,0.9577687900292224,RandomForest,"{'n_estimators': 1000, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}","[0.013663812726273898 0.09252300633382836 0.04205437491139386
 0.0022166591996825025 0.016735888977161238 0.0022245635617917188
 0.0008806478360030293 0.0018491577170662563 0.0003916016172811776
 0.0022232696181962086 0.0008825906196613933 0.000766505633947404
 0.0014994493093370893 0.0018501165024298178 0.0012400191940059356
 0.0036793631066518295 0.8091941888735071 0.00023344378870530504
 0.0002234698243043373 0.001988922584107486 0.001969884271140276
 0.00020965001993778601 0.0010928301038738556 0.00016807719491947383
 0.00023850647479262702]",Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.3,54065705.36984463,6042.619658464139,-2.0704825293114135,RandomForest,NA,NA,Not Removed
