Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,79,Germany,5922,Export Value,867,"Meat, cattle",2020,2020,1000 US$,524605,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",1992,1992,tonnes,253335,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",1993,1993,tonnes,213785,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",1994,1994,tonnes,227583,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",1995,1995,tonnes,214105,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",1996,1996,tonnes,264920,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",1997,1997,tonnes,239485,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",1998,1998,tonnes,256060,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",1999,1999,tonnes,203643,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2000,2000,tonnes,195432,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2001,2001,tonnes,232903,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2002,2002,tonnes,243825,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2003,2003,tonnes,230055,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2004,2004,tonnes,226439,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2005,2005,tonnes,221030,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2006,2006,tonnes,198139,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2007,2007,tonnes,241690,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2008,2008,tonnes,216017,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2009,2009,tonnes,261762,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2010,2010,tonnes,299075,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2011,2011,tonnes,320551,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2012,2012,tonnes,329137,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2013,2013,tonnes,343958,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2014,2014,tonnes,383240,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2015,2015,tonnes,402178,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2016,2016,tonnes,447257,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2017,2017,tonnes,474951,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2018,2018,tonnes,496552,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2019,2019,tonnes,497106,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,1058,"Meat, chicken",2020,2020,tonnes,470860,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",1992,1992,1000 US$,682761,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",1993,1993,1000 US$,548597,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",1994,1994,1000 US$,607399,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",1995,1995,1000 US$,585234,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",1996,1996,1000 US$,683261,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",1997,1997,1000 US$,600542,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",1998,1998,1000 US$,608361,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",1999,1999,1000 US$,433071,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2000,2000,1000 US$,381823,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2001,2001,1000 US$,490871,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2002,2002,1000 US$,471513,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2003,2003,1000 US$,513036,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2004,2004,1000 US$,555382,,Official data
TCL,Crops and livestock products,79,Germany,5622,Import Value,1058,"Meat, chicken",2005,2005,1000 US$,587427,,Official data
