Statistic,Month,Commodity Group,VALUE
EU HICP,1999M09,All-items HICP (COICOP 00),73.9
EU HICP,1999M09,Food and non-alcoholic beverages (COICOP 01),87.2
EU HICP,1999M09,Food (COICOP 01.1),87.4
EU HICP,1999M09,Bread and cereals (COICOP 01.1.1),85.6
EU HICP,1999M09,Meat (COICOP 01.1.2),90.7
EU HICP,1999M10,All-items HICP (COICOP 00),74
EU HICP,1999M10,Food and non-alcoholic beverages (COICOP 01),87
EU HICP,1999M10,Food (COICOP 01.1),87.1
EU HICP,1999M10,Bread and cereals (COICOP 01.1.1),85.5
EU HICP,1999M10,Meat (COICOP 01.1.2),90.3
EU HICP,1999M11,All-items HICP (COICOP 00),74.1
EU HICP,1999M11,Food and non-alcoholic beverages (COICOP 01),87.3
EU HICP,1999M11,Food (COICOP 01.1),87.5
EU HICP,1999M11,Bread and cereals (COICOP 01.1.1),85.9
EU HICP,1999M11,Meat (COICOP 01.1.2),91.2
EU HICP,1999M12,All-items HICP (COICOP 00),75
EU HICP,1999M12,Food and non-alcoholic beverages (COICOP 01),87.6
EU HICP,1999M12,Food (COICOP 01.1),87.6
EU HICP,1999M12,Bread and cereals (COICOP 01.1.1),86
EU HICP,1999M12,Meat (COICOP 01.1.2),91.4
EU HICP,2000M01,All-items HICP (COICOP 00),74.8
EU HICP,2000M01,Food and non-alcoholic beverages (COICOP 01),87.6
EU HICP,2000M01,Food (COICOP 01.1),87.8
EU HICP,2000M01,Bread and cereals (COICOP 01.1.1),86
EU HICP,2000M01,Meat (COICOP 01.1.2),91.4
EU HICP,2000M02,All-items HICP (COICOP 00),75.4
EU HICP,2000M02,Food and non-alcoholic beverages (COICOP 01),87.9
EU HICP,2000M02,Food (COICOP 01.1),88
EU HICP,2000M02,Bread and cereals (COICOP 01.1.1),86.1
EU HICP,2000M02,Meat (COICOP 01.1.2),92.3
EU HICP,2000M03,All-items HICP (COICOP 00),75.9
EU HICP,2000M03,Food and non-alcoholic beverages (COICOP 01),88
EU HICP,2000M03,Food (COICOP 01.1),88.1
EU HICP,2000M03,Bread and cereals (COICOP 01.1.1),87.1
EU HICP,2000M03,Meat (COICOP 01.1.2),92.6
EU HICP,2000M04,All-items HICP (COICOP 00),76.4
EU HICP,2000M04,Food and non-alcoholic beverages (COICOP 01),88.1
EU HICP,2000M04,Food (COICOP 01.1),88.2
EU HICP,2000M04,Bread and cereals (COICOP 01.1.1),87
EU HICP,2000M04,Meat (COICOP 01.1.2),93.3
EU HICP,2000M05,All-items HICP (COICOP 00),76.9
EU HICP,2000M05,Food and non-alcoholic beverages (COICOP 01),89.4
EU HICP,2000M05,Food (COICOP 01.1),89.5
EU HICP,2000M05,Bread and cereals (COICOP 01.1.1),87.5
EU HICP,2000M05,Meat (COICOP 01.1.2),94.9
EU HICP,2000M06,All-items HICP (COICOP 00),77.4
EU HICP,2000M06,Food and non-alcoholic beverages (COICOP 01),89.9
EU HICP,2000M06,Food (COICOP 01.1),90
EU HICP,2000M06,Bread and cereals (COICOP 01.1.1),88.4
EU HICP,2000M06,Meat (COICOP 01.1.2),94.2
EU HICP,2000M07,All-items HICP (COICOP 00),77.4
EU HICP,2000M07,Food and non-alcoholic beverages (COICOP 01),90.5
EU HICP,2000M07,Food (COICOP 01.1),90.6
EU HICP,2000M07,Bread and cereals (COICOP 01.1.1),88.4
EU HICP,2000M07,Meat (COICOP 01.1.2),95.1
EU HICP,2000M08,All-items HICP (COICOP 00),77.8
EU HICP,2000M08,Food and non-alcoholic beverages (COICOP 01),91
EU HICP,2000M08,Food (COICOP 01.1),91.2
EU HICP,2000M08,Bread and cereals (COICOP 01.1.1),88.7
EU HICP,2000M08,Meat (COICOP 01.1.2),95.1
EU HICP,2000M09,All-items HICP (COICOP 00),78
EU HICP,2000M09,Food and non-alcoholic beverages (COICOP 01),91
EU HICP,2000M09,Food (COICOP 01.1),91.1
EU HICP,2000M09,Bread and cereals (COICOP 01.1.1),89.3
EU HICP,2000M09,Meat (COICOP 01.1.2),95.9
EU HICP,2000M10,All-items HICP (COICOP 00),78.4
EU HICP,2000M10,Food and non-alcoholic beverages (COICOP 01),90.9
EU HICP,2000M10,Food (COICOP 01.1),90.9
EU HICP,2000M10,Bread and cereals (COICOP 01.1.1),89.5
EU HICP,2000M10,Meat (COICOP 01.1.2),95.8
EU HICP,2000M11,All-items HICP (COICOP 00),78.5
EU HICP,2000M11,Food and non-alcoholic beverages (COICOP 01),91.2
EU HICP,2000M11,Food (COICOP 01.1),91.2
EU HICP,2000M11,Bread and cereals (COICOP 01.1.1),89.5
EU HICP,2000M11,Meat (COICOP 01.1.2),96.1
EU HICP,2000M12,All-items HICP (COICOP 00),78.5
EU HICP,2000M12,Food and non-alcoholic beverages (COICOP 01),91.7
EU HICP,2000M12,Food (COICOP 01.1),91.8
EU HICP,2000M12,Bread and cereals (COICOP 01.1.1),89.9
EU HICP,2000M12,Meat (COICOP 01.1.2),96.9
EU HICP,2001M01,All-items HICP (COICOP 00),77.7
EU HICP,2001M01,Food and non-alcoholic beverages (COICOP 01),91.9
EU HICP,2001M01,Food (COICOP 01.1),91.9
EU HICP,2001M01,Bread and cereals (COICOP 01.1.1),89.6
EU HICP,2001M01,Meat (COICOP 01.1.2),97.2
EU HICP,2001M02,All-items HICP (COICOP 00),78.4
EU HICP,2001M02,Food and non-alcoholic beverages (COICOP 01),92.6
EU HICP,2001M02,Food (COICOP 01.1),92.7
EU HICP,2001M02,Bread and cereals (COICOP 01.1.1),90.6
EU HICP,2001M02,Meat (COICOP 01.1.2),98.1
EU HICP,2001M03,All-items HICP (COICOP 00),79
EU HICP,2001M03,Food and non-alcoholic beverages (COICOP 01),93.8
EU HICP,2001M03,Food (COICOP 01.1),93.9
EU HICP,2001M03,Bread and cereals (COICOP 01.1.1),90.6
EU HICP,2001M03,Meat (COICOP 01.1.2),101.9
EU HICP,2001M04,All-items HICP (COICOP 00),79.6
EU HICP,2001M04,Food and non-alcoholic beverages (COICOP 01),95.2
EU HICP,2001M04,Food (COICOP 01.1),95.4
EU HICP,2001M04,Bread and cereals (COICOP 01.1.1),91.2
EU HICP,2001M04,Meat (COICOP 01.1.2),104.6
EU HICP,2001M05,All-items HICP (COICOP 00),80.1
EU HICP,2001M05,Food and non-alcoholic beverages (COICOP 01),95.7
EU HICP,2001M05,Food (COICOP 01.1),96
EU HICP,2001M05,Bread and cereals (COICOP 01.1.1),91.8
EU HICP,2001M05,Meat (COICOP 01.1.2),105.1
EU HICP,2001M06,All-items HICP (COICOP 00),80.7
EU HICP,2001M06,Food and non-alcoholic beverages (COICOP 01),96.4
EU HICP,2001M06,Food (COICOP 01.1),96.7
EU HICP,2001M06,Bread and cereals (COICOP 01.1.1),92
EU HICP,2001M06,Meat (COICOP 01.1.2),105.2
EU HICP,2001M07,All-items HICP (COICOP 00),80.5
EU HICP,2001M07,Food and non-alcoholic beverages (COICOP 01),96.6
EU HICP,2001M07,Food (COICOP 01.1),96.9
EU HICP,2001M07,Bread and cereals (COICOP 01.1.1),92.1
EU HICP,2001M07,Meat (COICOP 01.1.2),105.6
EU HICP,2001M08,All-items HICP (COICOP 00),80.7
EU HICP,2001M08,Food and non-alcoholic beverages (COICOP 01),97.1
EU HICP,2001M08,Food (COICOP 01.1),97.3
EU HICP,2001M08,Bread and cereals (COICOP 01.1.1),92.6
EU HICP,2001M08,Meat (COICOP 01.1.2),105
EU HICP,2001M09,All-items HICP (COICOP 00),81
EU HICP,2001M09,Food and non-alcoholic beverages (COICOP 01),97.1
EU HICP,2001M09,Food (COICOP 01.1),97.4
EU HICP,2001M09,Bread and cereals (COICOP 01.1.1),93
EU HICP,2001M09,Meat (COICOP 01.1.2),105.3
EU HICP,2001M10,All-items HICP (COICOP 00),81.4
EU HICP,2001M10,Food and non-alcoholic beverages (COICOP 01),96.9
EU HICP,2001M10,Food (COICOP 01.1),97.1
EU HICP,2001M10,Bread and cereals (COICOP 01.1.1),92.9
EU HICP,2001M10,Meat (COICOP 01.1.2),105.2
EU HICP,2001M11,All-items HICP (COICOP 00),81.3
EU HICP,2001M11,Food and non-alcoholic beverages (COICOP 01),97
EU HICP,2001M11,Food (COICOP 01.1),97.2
EU HICP,2001M11,Bread and cereals (COICOP 01.1.1),93.3
EU HICP,2001M11,Meat (COICOP 01.1.2),106.2
EU HICP,2001M12,All-items HICP (COICOP 00),81.9
EU HICP,2001M12,Food and non-alcoholic beverages (COICOP 01),97.3
EU HICP,2001M12,Food (COICOP 01.1),97.6
EU HICP,2001M12,Bread and cereals (COICOP 01.1.1),93.7
EU HICP,2001M12,Meat (COICOP 01.1.2),106.8
EU HICP,2002M01,All-items HICP (COICOP 00),81.8
EU HICP,2002M01,Food and non-alcoholic beverages (COICOP 01),97.5
EU HICP,2002M01,Food (COICOP 01.1),97.8
EU HICP,2002M01,Bread and cereals (COICOP 01.1.1),93.7
EU HICP,2002M01,Meat (COICOP 01.1.2),106.9
EU HICP,2002M02,All-items HICP (COICOP 00),82.3
EU HICP,2002M02,Food and non-alcoholic beverages (COICOP 01),97.6
EU HICP,2002M02,Food (COICOP 01.1),97.9
EU HICP,2002M02,Bread and cereals (COICOP 01.1.1),93.5
EU HICP,2002M02,Meat (COICOP 01.1.2),107.1
EU HICP,2002M03,All-items HICP (COICOP 00),83
EU HICP,2002M03,Food and non-alcoholic beverages (COICOP 01),97.7
EU HICP,2002M03,Food (COICOP 01.1),98
EU HICP,2002M03,Bread and cereals (COICOP 01.1.1),93.4
EU HICP,2002M03,Meat (COICOP 01.1.2),106.8
EU HICP,2002M04,All-items HICP (COICOP 00),83.7
EU HICP,2002M04,Food and non-alcoholic beverages (COICOP 01),98.2
EU HICP,2002M04,Food (COICOP 01.1),98.5
EU HICP,2002M04,Bread and cereals (COICOP 01.1.1),94.5
EU HICP,2002M04,Meat (COICOP 01.1.2),107.1
EU HICP,2002M05,All-items HICP (COICOP 00),84.1
EU HICP,2002M05,Food and non-alcoholic beverages (COICOP 01),98.8
EU HICP,2002M05,Food (COICOP 01.1),98.9
EU HICP,2002M05,Bread and cereals (COICOP 01.1.1),95.6
EU HICP,2002M05,Meat (COICOP 01.1.2),106.8
EU HICP,2002M06,All-items HICP (COICOP 00),84.3
EU HICP,2002M06,Food and non-alcoholic beverages (COICOP 01),99.1
EU HICP,2002M06,Food (COICOP 01.1),99.3
EU HICP,2002M06,Bread and cereals (COICOP 01.1.1),96.3
EU HICP,2002M06,Meat (COICOP 01.1.2),106.7
EU HICP,2002M07,All-items HICP (COICOP 00),83.8
EU HICP,2002M07,Food and non-alcoholic beverages (COICOP 01),99.4
EU HICP,2002M07,Food (COICOP 01.1),99.5
EU HICP,2002M07,Bread and cereals (COICOP 01.1.1),96.6
EU HICP,2002M07,Meat (COICOP 01.1.2),107.1
EU HICP,2002M08,All-items HICP (COICOP 00),84.3
EU HICP,2002M08,Food and non-alcoholic beverages (COICOP 01),99.5
EU HICP,2002M08,Food (COICOP 01.1),99.7
EU HICP,2002M08,Bread and cereals (COICOP 01.1.1),97
EU HICP,2002M08,Meat (COICOP 01.1.2),106.6
EU HICP,2002M09,All-items HICP (COICOP 00),84.6
EU HICP,2002M09,Food and non-alcoholic beverages (COICOP 01),99.7
EU HICP,2002M09,Food (COICOP 01.1),99.8
EU HICP,2002M09,Bread and cereals (COICOP 01.1.1),97.1
EU HICP,2002M09,Meat (COICOP 01.1.2),107.1
EU HICP,2002M10,All-items HICP (COICOP 00),85
EU HICP,2002M10,Food and non-alcoholic beverages (COICOP 01),99.8
EU HICP,2002M10,Food (COICOP 01.1),100
EU HICP,2002M10,Bread and cereals (COICOP 01.1.1),97.3
EU HICP,2002M10,Meat (COICOP 01.1.2),106.9
EU HICP,2002M11,All-items HICP (COICOP 00),85
EU HICP,2002M11,Food and non-alcoholic beverages (COICOP 01),99.9
EU HICP,2002M11,Food (COICOP 01.1),100
EU HICP,2002M11,Bread and cereals (COICOP 01.1.1),97.5
EU HICP,2002M11,Meat (COICOP 01.1.2),107.2
EU HICP,2002M12,All-items HICP (COICOP 00),85.6
EU HICP,2002M12,Food and non-alcoholic beverages (COICOP 01),100
EU HICP,2002M12,Food (COICOP 01.1),100.2
EU HICP,2002M12,Bread and cereals (COICOP 01.1.1),97.7
EU HICP,2002M12,Meat (COICOP 01.1.2),106.8
EU HICP,2003M01,All-items HICP (COICOP 00),85.7
EU HICP,2003M01,Food and non-alcoholic beverages (COICOP 01),99.8
EU HICP,2003M01,Food (COICOP 01.1),100
EU HICP,2003M01,Bread and cereals (COICOP 01.1.1),97.4
EU HICP,2003M01,Meat (COICOP 01.1.2),106.6
EU HICP,2003M02,All-items HICP (COICOP 00),86.5
EU HICP,2003M02,Food and non-alcoholic beverages (COICOP 01),100.1
EU HICP,2003M02,Food (COICOP 01.1),100.2
EU HICP,2003M02,Bread and cereals (COICOP 01.1.1),97.3
EU HICP,2003M02,Meat (COICOP 01.1.2),106.2
EU HICP,2003M03,All-items HICP (COICOP 00),87.1
EU HICP,2003M03,Food and non-alcoholic beverages (COICOP 01),100.3
EU HICP,2003M03,Food (COICOP 01.1),100.5
EU HICP,2003M03,Bread and cereals (COICOP 01.1.1),97.8
EU HICP,2003M03,Meat (COICOP 01.1.2),107.1
EU HICP,2003M04,All-items HICP (COICOP 00),87.5
EU HICP,2003M04,Food and non-alcoholic beverages (COICOP 01),100.4
EU HICP,2003M04,Food (COICOP 01.1),100.5
EU HICP,2003M04,Bread and cereals (COICOP 01.1.1),97.9
EU HICP,2003M04,Meat (COICOP 01.1.2),107
EU HICP,2003M05,All-items HICP (COICOP 00),87.4
EU HICP,2003M05,Food and non-alcoholic beverages (COICOP 01),100.3
EU HICP,2003M05,Food (COICOP 01.1),100.4
EU HICP,2003M05,Bread and cereals (COICOP 01.1.1),97
EU HICP,2003M05,Meat (COICOP 01.1.2),107
EU HICP,2003M06,All-items HICP (COICOP 00),87.4
EU HICP,2003M06,Food and non-alcoholic beverages (COICOP 01),100.6
EU HICP,2003M06,Food (COICOP 01.1),100.8
EU HICP,2003M06,Bread and cereals (COICOP 01.1.1),97.8
EU HICP,2003M06,Meat (COICOP 01.1.2),106.9
