Statistic,Month,Type of Animal,UNIT,VALUE
Weight of Livestock Slaughtered,1984M03,Sheep,000 Tonnes,2.5
Weight of Livestock Slaughtered,1984M03,Pigs,000 Tonnes,13.5
Weight of Livestock Slaughtered,1984M03,Bullocks,000 Tonnes,11.1
Weight of Livestock Slaughtered,1984M03,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M03,Cows,000 Tonnes,5.3
Weight of Livestock Slaughtered,1984M03,Heifers,000 Tonnes,7.7
Weight of Livestock Slaughtered,1984M03,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M03,Lambs,000 Tonnes,1.4
Weight of Livestock Slaughtered,1984M03,Cattle (Including Calves),000 Tonnes,24.5
Weight of Livestock Slaughtered,1984M03,Cattle without Calves,000 Tonnes,24.4
Weight of Livestock Slaughtered,1984M04,Sheep,000 Tonnes,2.5
Weight of Livestock Slaughtered,1984M04,Pigs,000 Tonnes,11.9
Weight of Livestock Slaughtered,1984M04,Bullocks,000 Tonnes,8.4
Weight of Livestock Slaughtered,1984M04,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1984M04,Cows,000 Tonnes,4.6
Weight of Livestock Slaughtered,1984M04,Heifers,000 Tonnes,7
Weight of Livestock Slaughtered,1984M04,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M04,Lambs,000 Tonnes,1.5
Weight of Livestock Slaughtered,1984M04,Cattle (Including Calves),000 Tonnes,20.4
Weight of Livestock Slaughtered,1984M04,Cattle without Calves,000 Tonnes,20.3
Weight of Livestock Slaughtered,1984M05,Sheep,000 Tonnes,3.8
Weight of Livestock Slaughtered,1984M05,Pigs,000 Tonnes,13
Weight of Livestock Slaughtered,1984M05,Bullocks,000 Tonnes,8
Weight of Livestock Slaughtered,1984M05,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1984M05,Cows,000 Tonnes,6.1
Weight of Livestock Slaughtered,1984M05,Heifers,000 Tonnes,7.2
Weight of Livestock Slaughtered,1984M05,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M05,Lambs,000 Tonnes,3
Weight of Livestock Slaughtered,1984M05,Cattle (Including Calves),000 Tonnes,21.7
Weight of Livestock Slaughtered,1984M05,Cattle without Calves,000 Tonnes,21.6
Weight of Livestock Slaughtered,1984M06,Sheep,000 Tonnes,3.9
Weight of Livestock Slaughtered,1984M06,Pigs,000 Tonnes,11.2
Weight of Livestock Slaughtered,1984M06,Bullocks,000 Tonnes,7.4
Weight of Livestock Slaughtered,1984M06,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1984M06,Cows,000 Tonnes,7
Weight of Livestock Slaughtered,1984M06,Heifers,000 Tonnes,6.8
Weight of Livestock Slaughtered,1984M06,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M06,Lambs,000 Tonnes,3.1
Weight of Livestock Slaughtered,1984M06,Cattle (Including Calves),000 Tonnes,21.6
Weight of Livestock Slaughtered,1984M06,Cattle without Calves,000 Tonnes,21.5
Weight of Livestock Slaughtered,1984M07,Sheep,000 Tonnes,3.6
Weight of Livestock Slaughtered,1984M07,Pigs,000 Tonnes,12.3
Weight of Livestock Slaughtered,1984M07,Bullocks,000 Tonnes,12.4
Weight of Livestock Slaughtered,1984M07,Bulls,000 Tonnes,0.4
Weight of Livestock Slaughtered,1984M07,Cows,000 Tonnes,7.6
Weight of Livestock Slaughtered,1984M07,Heifers,000 Tonnes,6.8
Weight of Livestock Slaughtered,1984M07,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M07,Lambs,000 Tonnes,2.8
Weight of Livestock Slaughtered,1984M07,Cattle (Including Calves),000 Tonnes,27.3
Weight of Livestock Slaughtered,1984M07,Cattle without Calves,000 Tonnes,27.2
Weight of Livestock Slaughtered,1984M08,Sheep,000 Tonnes,4
Weight of Livestock Slaughtered,1984M08,Pigs,000 Tonnes,12.6
Weight of Livestock Slaughtered,1984M08,Bullocks,000 Tonnes,22.5
Weight of Livestock Slaughtered,1984M08,Bulls,000 Tonnes,0.4
Weight of Livestock Slaughtered,1984M08,Cows,000 Tonnes,8
Weight of Livestock Slaughtered,1984M08,Heifers,000 Tonnes,7.8
Weight of Livestock Slaughtered,1984M08,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M08,Lambs,000 Tonnes,3.1
Weight of Livestock Slaughtered,1984M08,Cattle (Including Calves),000 Tonnes,38.9
Weight of Livestock Slaughtered,1984M08,Cattle without Calves,000 Tonnes,38.8
Weight of Livestock Slaughtered,1984M09,Sheep,000 Tonnes,3.7
Weight of Livestock Slaughtered,1984M09,Pigs,000 Tonnes,11.1
Weight of Livestock Slaughtered,1984M09,Bullocks,000 Tonnes,33.4
Weight of Livestock Slaughtered,1984M09,Bulls,000 Tonnes,0.4
Weight of Livestock Slaughtered,1984M09,Cows,000 Tonnes,7.9
Weight of Livestock Slaughtered,1984M09,Heifers,000 Tonnes,8.3
Weight of Livestock Slaughtered,1984M09,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M09,Lambs,000 Tonnes,2.8
Weight of Livestock Slaughtered,1984M09,Cattle (Including Calves),000 Tonnes,50.3
Weight of Livestock Slaughtered,1984M09,Cattle without Calves,000 Tonnes,50.2
Weight of Livestock Slaughtered,1984M10,Sheep,000 Tonnes,3.8
Weight of Livestock Slaughtered,1984M10,Pigs,000 Tonnes,9.5
Weight of Livestock Slaughtered,1984M10,Bullocks,000 Tonnes,41.2
Weight of Livestock Slaughtered,1984M10,Bulls,000 Tonnes,0.5
Weight of Livestock Slaughtered,1984M10,Cows,000 Tonnes,9
Weight of Livestock Slaughtered,1984M10,Heifers,000 Tonnes,9.1
Weight of Livestock Slaughtered,1984M10,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M10,Lambs,000 Tonnes,2.8
Weight of Livestock Slaughtered,1984M10,Cattle (Including Calves),000 Tonnes,59.9
Weight of Livestock Slaughtered,1984M10,Cattle without Calves,000 Tonnes,59.8
Weight of Livestock Slaughtered,1984M11,Sheep,000 Tonnes,3.5
Weight of Livestock Slaughtered,1984M11,Pigs,000 Tonnes,12.3
Weight of Livestock Slaughtered,1984M11,Bullocks,000 Tonnes,38.6
Weight of Livestock Slaughtered,1984M11,Bulls,000 Tonnes,0.4
Weight of Livestock Slaughtered,1984M11,Cows,000 Tonnes,9.6
Weight of Livestock Slaughtered,1984M11,Heifers,000 Tonnes,9.2
Weight of Livestock Slaughtered,1984M11,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1984M11,Lambs,000 Tonnes,2.4
Weight of Livestock Slaughtered,1984M11,Cattle (Including Calves),000 Tonnes,57.9
Weight of Livestock Slaughtered,1984M11,Cattle without Calves,000 Tonnes,57.8
Weight of Livestock Slaughtered,1984M12,Sheep,000 Tonnes,3.1
Weight of Livestock Slaughtered,1984M12,Pigs,000 Tonnes,8.7
Weight of Livestock Slaughtered,1984M12,Bullocks,000 Tonnes,15.1
Weight of Livestock Slaughtered,1984M12,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1984M12,Cows,000 Tonnes,6.8
Weight of Livestock Slaughtered,1984M12,Heifers,000 Tonnes,7.7
Weight of Livestock Slaughtered,1984M12,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1984M12,Lambs,000 Tonnes,2.2
Weight of Livestock Slaughtered,1984M12,Cattle (Including Calves),000 Tonnes,29.8
Weight of Livestock Slaughtered,1984M12,Cattle without Calves,000 Tonnes,29.8
Weight of Livestock Slaughtered,1985M01,Sheep,000 Tonnes,3.1
Weight of Livestock Slaughtered,1985M01,Pigs,000 Tonnes,12.1
Weight of Livestock Slaughtered,1985M01,Bullocks,000 Tonnes,12.6
Weight of Livestock Slaughtered,1985M01,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1985M01,Cows,000 Tonnes,8.4
Weight of Livestock Slaughtered,1985M01,Heifers,000 Tonnes,9.4
Weight of Livestock Slaughtered,1985M01,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M01,Lambs,000 Tonnes,2
Weight of Livestock Slaughtered,1985M01,Cattle (Including Calves),000 Tonnes,30.5
Weight of Livestock Slaughtered,1985M01,Cattle without Calves,000 Tonnes,30.5
Weight of Livestock Slaughtered,1985M02,Sheep,000 Tonnes,2.8
Weight of Livestock Slaughtered,1985M02,Pigs,000 Tonnes,10.5
Weight of Livestock Slaughtered,1985M02,Bullocks,000 Tonnes,8.2
Weight of Livestock Slaughtered,1985M02,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1985M02,Cows,000 Tonnes,6.2
Weight of Livestock Slaughtered,1985M02,Heifers,000 Tonnes,7.8
Weight of Livestock Slaughtered,1985M02,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M02,Lambs,000 Tonnes,1.7
Weight of Livestock Slaughtered,1985M02,Cattle (Including Calves),000 Tonnes,22.3
Weight of Livestock Slaughtered,1985M02,Cattle without Calves,000 Tonnes,22.3
Weight of Livestock Slaughtered,1985M03,Sheep,000 Tonnes,3.1
Weight of Livestock Slaughtered,1985M03,Pigs,000 Tonnes,10.8
Weight of Livestock Slaughtered,1985M03,Bullocks,000 Tonnes,10.8
Weight of Livestock Slaughtered,1985M03,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1985M03,Cows,000 Tonnes,6.9
Weight of Livestock Slaughtered,1985M03,Heifers,000 Tonnes,8.2
Weight of Livestock Slaughtered,1985M03,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M03,Lambs,000 Tonnes,1.9
Weight of Livestock Slaughtered,1985M03,Cattle (Including Calves),000 Tonnes,26
Weight of Livestock Slaughtered,1985M03,Cattle without Calves,000 Tonnes,26
Weight of Livestock Slaughtered,1985M04,Sheep,000 Tonnes,2.9
Weight of Livestock Slaughtered,1985M04,Pigs,000 Tonnes,10.8
Weight of Livestock Slaughtered,1985M04,Bullocks,000 Tonnes,13.5
Weight of Livestock Slaughtered,1985M04,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1985M04,Cows,000 Tonnes,6
Weight of Livestock Slaughtered,1985M04,Heifers,000 Tonnes,8.2
Weight of Livestock Slaughtered,1985M04,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M04,Lambs,000 Tonnes,1.8
Weight of Livestock Slaughtered,1985M04,Cattle (Including Calves),000 Tonnes,27.9
Weight of Livestock Slaughtered,1985M04,Cattle without Calves,000 Tonnes,27.9
Weight of Livestock Slaughtered,1985M05,Sheep,000 Tonnes,4.3
Weight of Livestock Slaughtered,1985M05,Pigs,000 Tonnes,11.1
Weight of Livestock Slaughtered,1985M05,Bullocks,000 Tonnes,18.5
Weight of Livestock Slaughtered,1985M05,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1985M05,Cows,000 Tonnes,7.6
Weight of Livestock Slaughtered,1985M05,Heifers,000 Tonnes,9.1
Weight of Livestock Slaughtered,1985M05,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M05,Lambs,000 Tonnes,3.3
Weight of Livestock Slaughtered,1985M05,Cattle (Including Calves),000 Tonnes,35.5
Weight of Livestock Slaughtered,1985M05,Cattle without Calves,000 Tonnes,35.5
Weight of Livestock Slaughtered,1985M06,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,1985M06,Pigs,000 Tonnes,9.9
Weight of Livestock Slaughtered,1985M06,Bullocks,000 Tonnes,8
Weight of Livestock Slaughtered,1985M06,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1985M06,Cows,000 Tonnes,7
Weight of Livestock Slaughtered,1985M06,Heifers,000 Tonnes,7.2
Weight of Livestock Slaughtered,1985M06,Calves,000 Tonnes,0.1
Weight of Livestock Slaughtered,1985M06,Lambs,000 Tonnes,3.6
Weight of Livestock Slaughtered,1985M06,Cattle (Including Calves),000 Tonnes,22.4
Weight of Livestock Slaughtered,1985M06,Cattle without Calves,000 Tonnes,22.3
Weight of Livestock Slaughtered,1985M07,Sheep,000 Tonnes,5.5
Weight of Livestock Slaughtered,1985M07,Pigs,000 Tonnes,12
Weight of Livestock Slaughtered,1985M07,Bullocks,000 Tonnes,11.5
Weight of Livestock Slaughtered,1985M07,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1985M07,Cows,000 Tonnes,8.3
Weight of Livestock Slaughtered,1985M07,Heifers,000 Tonnes,7.9
Weight of Livestock Slaughtered,1985M07,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M07,Lambs,000 Tonnes,4.6
Weight of Livestock Slaughtered,1985M07,Cattle (Including Calves),000 Tonnes,28
Weight of Livestock Slaughtered,1985M07,Cattle without Calves,000 Tonnes,28
Weight of Livestock Slaughtered,1985M08,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,1985M08,Pigs,000 Tonnes,11.3
Weight of Livestock Slaughtered,1985M08,Bullocks,000 Tonnes,19.4
Weight of Livestock Slaughtered,1985M08,Bulls,000 Tonnes,0.5
Weight of Livestock Slaughtered,1985M08,Cows,000 Tonnes,9.9
Weight of Livestock Slaughtered,1985M08,Heifers,000 Tonnes,8.4
Weight of Livestock Slaughtered,1985M08,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M08,Lambs,000 Tonnes,3.6
Weight of Livestock Slaughtered,1985M08,Cattle (Including Calves),000 Tonnes,38.3
Weight of Livestock Slaughtered,1985M08,Cattle without Calves,000 Tonnes,38.3
Weight of Livestock Slaughtered,1985M09,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,1985M09,Pigs,000 Tonnes,12
Weight of Livestock Slaughtered,1985M09,Bullocks,000 Tonnes,36.4
Weight of Livestock Slaughtered,1985M09,Bulls,000 Tonnes,0.5
Weight of Livestock Slaughtered,1985M09,Cows,000 Tonnes,8.5
Weight of Livestock Slaughtered,1985M09,Heifers,000 Tonnes,9.1
Weight of Livestock Slaughtered,1985M09,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M09,Lambs,000 Tonnes,3.7
Weight of Livestock Slaughtered,1985M09,Cattle (Including Calves),000 Tonnes,54.5
Weight of Livestock Slaughtered,1985M09,Cattle without Calves,000 Tonnes,54.5
Weight of Livestock Slaughtered,1985M10,Sheep,000 Tonnes,4.8
Weight of Livestock Slaughtered,1985M10,Pigs,000 Tonnes,12.4
Weight of Livestock Slaughtered,1985M10,Bullocks,000 Tonnes,52.2
Weight of Livestock Slaughtered,1985M10,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1985M10,Cows,000 Tonnes,6.9
Weight of Livestock Slaughtered,1985M10,Heifers,000 Tonnes,9.5
Weight of Livestock Slaughtered,1985M10,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M10,Lambs,000 Tonnes,3.7
Weight of Livestock Slaughtered,1985M10,Cattle (Including Calves),000 Tonnes,68.9
Weight of Livestock Slaughtered,1985M10,Cattle without Calves,000 Tonnes,68.9
Weight of Livestock Slaughtered,1985M11,Sheep,000 Tonnes,3.9
Weight of Livestock Slaughtered,1985M11,Pigs,000 Tonnes,11.8
Weight of Livestock Slaughtered,1985M11,Bullocks,000 Tonnes,40.9
Weight of Livestock Slaughtered,1985M11,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1985M11,Cows,000 Tonnes,7.8
Weight of Livestock Slaughtered,1985M11,Heifers,000 Tonnes,9.9
Weight of Livestock Slaughtered,1985M11,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M11,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,1985M11,Cattle (Including Calves),000 Tonnes,58.9
Weight of Livestock Slaughtered,1985M11,Cattle without Calves,000 Tonnes,58.9
Weight of Livestock Slaughtered,1985M12,Sheep,000 Tonnes,3.9
Weight of Livestock Slaughtered,1985M12,Pigs,000 Tonnes,10.9
Weight of Livestock Slaughtered,1985M12,Bullocks,000 Tonnes,22.7
Weight of Livestock Slaughtered,1985M12,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1985M12,Cows,000 Tonnes,5
Weight of Livestock Slaughtered,1985M12,Heifers,000 Tonnes,8.3
Weight of Livestock Slaughtered,1985M12,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1985M12,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,1985M12,Cattle (Including Calves),000 Tonnes,36.1
Weight of Livestock Slaughtered,1985M12,Cattle without Calves,000 Tonnes,36.1
Weight of Livestock Slaughtered,1986M01,Sheep,000 Tonnes,3.3
Weight of Livestock Slaughtered,1986M01,Pigs,000 Tonnes,12.9
Weight of Livestock Slaughtered,1986M01,Bullocks,000 Tonnes,16.3
Weight of Livestock Slaughtered,1986M01,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1986M01,Cows,000 Tonnes,6.5
Weight of Livestock Slaughtered,1986M01,Heifers,000 Tonnes,9.1
Weight of Livestock Slaughtered,1986M01,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M01,Lambs,000 Tonnes,1.9
Weight of Livestock Slaughtered,1986M01,Cattle (Including Calves),000 Tonnes,32
Weight of Livestock Slaughtered,1986M01,Cattle without Calves,000 Tonnes,32
Weight of Livestock Slaughtered,1986M02,Sheep,000 Tonnes,2.6
Weight of Livestock Slaughtered,1986M02,Pigs,000 Tonnes,10.4
Weight of Livestock Slaughtered,1986M02,Bullocks,000 Tonnes,14.4
Weight of Livestock Slaughtered,1986M02,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1986M02,Cows,000 Tonnes,6.3
Weight of Livestock Slaughtered,1986M02,Heifers,000 Tonnes,8
Weight of Livestock Slaughtered,1986M02,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M02,Lambs,000 Tonnes,1.4
Weight of Livestock Slaughtered,1986M02,Cattle (Including Calves),000 Tonnes,28.9
Weight of Livestock Slaughtered,1986M02,Cattle without Calves,000 Tonnes,28.9
Weight of Livestock Slaughtered,1986M03,Sheep,000 Tonnes,2.6
Weight of Livestock Slaughtered,1986M03,Pigs,000 Tonnes,11
Weight of Livestock Slaughtered,1986M03,Bullocks,000 Tonnes,13.7
Weight of Livestock Slaughtered,1986M03,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1986M03,Cows,000 Tonnes,7
Weight of Livestock Slaughtered,1986M03,Heifers,000 Tonnes,8
Weight of Livestock Slaughtered,1986M03,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M03,Lambs,000 Tonnes,1.3
Weight of Livestock Slaughtered,1986M03,Cattle (Including Calves),000 Tonnes,29
Weight of Livestock Slaughtered,1986M03,Cattle without Calves,000 Tonnes,29
Weight of Livestock Slaughtered,1986M04,Sheep,000 Tonnes,2.8
Weight of Livestock Slaughtered,1986M04,Pigs,000 Tonnes,12.2
Weight of Livestock Slaughtered,1986M04,Bullocks,000 Tonnes,17.6
Weight of Livestock Slaughtered,1986M04,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1986M04,Cows,000 Tonnes,7.5
Weight of Livestock Slaughtered,1986M04,Heifers,000 Tonnes,8.1
Weight of Livestock Slaughtered,1986M04,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M04,Lambs,000 Tonnes,1.4
Weight of Livestock Slaughtered,1986M04,Cattle (Including Calves),000 Tonnes,33.5
Weight of Livestock Slaughtered,1986M04,Cattle without Calves,000 Tonnes,33.5
Weight of Livestock Slaughtered,1986M05,Sheep,000 Tonnes,4
Weight of Livestock Slaughtered,1986M05,Pigs,000 Tonnes,11.1
Weight of Livestock Slaughtered,1986M05,Bullocks,000 Tonnes,18.5
Weight of Livestock Slaughtered,1986M05,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1986M05,Cows,000 Tonnes,5.7
Weight of Livestock Slaughtered,1986M05,Heifers,000 Tonnes,6.8
Weight of Livestock Slaughtered,1986M05,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M05,Lambs,000 Tonnes,2.8
Weight of Livestock Slaughtered,1986M05,Cattle (Including Calves),000 Tonnes,31.3
Weight of Livestock Slaughtered,1986M05,Cattle without Calves,000 Tonnes,31.3
Weight of Livestock Slaughtered,1986M06,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,1986M06,Pigs,000 Tonnes,10.4
Weight of Livestock Slaughtered,1986M06,Bullocks,000 Tonnes,12.6
Weight of Livestock Slaughtered,1986M06,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1986M06,Cows,000 Tonnes,7
Weight of Livestock Slaughtered,1986M06,Heifers,000 Tonnes,6.7
Weight of Livestock Slaughtered,1986M06,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M06,Lambs,000 Tonnes,3.6
Weight of Livestock Slaughtered,1986M06,Cattle (Including Calves),000 Tonnes,26.5
Weight of Livestock Slaughtered,1986M06,Cattle without Calves,000 Tonnes,26.5
Weight of Livestock Slaughtered,1986M07,Sheep,000 Tonnes,4.9
Weight of Livestock Slaughtered,1986M07,Pigs,000 Tonnes,11.9
Weight of Livestock Slaughtered,1986M07,Bullocks,000 Tonnes,21.4
Weight of Livestock Slaughtered,1986M07,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1986M07,Cows,000 Tonnes,9.4
Weight of Livestock Slaughtered,1986M07,Heifers,000 Tonnes,7.6
Weight of Livestock Slaughtered,1986M07,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M07,Lambs,000 Tonnes,3.9
Weight of Livestock Slaughtered,1986M07,Cattle (Including Calves),000 Tonnes,38.7
Weight of Livestock Slaughtered,1986M07,Cattle without Calves,000 Tonnes,38.7
Weight of Livestock Slaughtered,1986M08,Sheep,000 Tonnes,4
Weight of Livestock Slaughtered,1986M08,Pigs,000 Tonnes,11.1
Weight of Livestock Slaughtered,1986M08,Bullocks,000 Tonnes,32.4
Weight of Livestock Slaughtered,1986M08,Bulls,000 Tonnes,0.3
Weight of Livestock Slaughtered,1986M08,Cows,000 Tonnes,6.9
Weight of Livestock Slaughtered,1986M08,Heifers,000 Tonnes,7
Weight of Livestock Slaughtered,1986M08,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M08,Lambs,000 Tonnes,3
Weight of Livestock Slaughtered,1986M08,Cattle (Including Calves),000 Tonnes,46.6
Weight of Livestock Slaughtered,1986M08,Cattle without Calves,000 Tonnes,46.6
Weight of Livestock Slaughtered,1986M09,Sheep,000 Tonnes,4.6
Weight of Livestock Slaughtered,1986M09,Pigs,000 Tonnes,11.9
Weight of Livestock Slaughtered,1986M09,Bullocks,000 Tonnes,35
Weight of Livestock Slaughtered,1986M09,Bulls,000 Tonnes,0.6
Weight of Livestock Slaughtered,1986M09,Cows,000 Tonnes,8.9
Weight of Livestock Slaughtered,1986M09,Heifers,000 Tonnes,8.9
Weight of Livestock Slaughtered,1986M09,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M09,Lambs,000 Tonnes,3.5
Weight of Livestock Slaughtered,1986M09,Cattle (Including Calves),000 Tonnes,53.4
Weight of Livestock Slaughtered,1986M09,Cattle without Calves,000 Tonnes,53.4
Weight of Livestock Slaughtered,1986M10,Sheep,000 Tonnes,4.7
Weight of Livestock Slaughtered,1986M10,Pigs,000 Tonnes,12.5
Weight of Livestock Slaughtered,1986M10,Bullocks,000 Tonnes,61.6
Weight of Livestock Slaughtered,1986M10,Bulls,000 Tonnes,0.9
Weight of Livestock Slaughtered,1986M10,Cows,000 Tonnes,10.1
Weight of Livestock Slaughtered,1986M10,Heifers,000 Tonnes,9.3
Weight of Livestock Slaughtered,1986M10,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M10,Lambs,000 Tonnes,3.6
Weight of Livestock Slaughtered,1986M10,Cattle (Including Calves),000 Tonnes,81.9
Weight of Livestock Slaughtered,1986M10,Cattle without Calves,000 Tonnes,81.9
Weight of Livestock Slaughtered,1986M11,Sheep,000 Tonnes,3.9
Weight of Livestock Slaughtered,1986M11,Pigs,000 Tonnes,11.5
Weight of Livestock Slaughtered,1986M11,Bullocks,000 Tonnes,44.9
Weight of Livestock Slaughtered,1986M11,Bulls,000 Tonnes,0.4
Weight of Livestock Slaughtered,1986M11,Cows,000 Tonnes,11.3
Weight of Livestock Slaughtered,1986M11,Heifers,000 Tonnes,10.1
Weight of Livestock Slaughtered,1986M11,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M11,Lambs,000 Tonnes,2.9
Weight of Livestock Slaughtered,1986M11,Cattle (Including Calves),000 Tonnes,66.7
Weight of Livestock Slaughtered,1986M11,Cattle without Calves,000 Tonnes,66.7
Weight of Livestock Slaughtered,1986M12,Sheep,000 Tonnes,4.2
Weight of Livestock Slaughtered,1986M12,Pigs,000 Tonnes,11.4
Weight of Livestock Slaughtered,1986M12,Bullocks,000 Tonnes,20.9
Weight of Livestock Slaughtered,1986M12,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1986M12,Cows,000 Tonnes,7.7
Weight of Livestock Slaughtered,1986M12,Heifers,000 Tonnes,8.7
Weight of Livestock Slaughtered,1986M12,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1986M12,Lambs,000 Tonnes,3.2
Weight of Livestock Slaughtered,1986M12,Cattle (Including Calves),000 Tonnes,37.5
Weight of Livestock Slaughtered,1986M12,Cattle without Calves,000 Tonnes,37.5
Weight of Livestock Slaughtered,1987M01,Sheep,000 Tonnes,3.2
Weight of Livestock Slaughtered,1987M01,Pigs,000 Tonnes,11.9
Weight of Livestock Slaughtered,1987M01,Bullocks,000 Tonnes,19.1
Weight of Livestock Slaughtered,1987M01,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1987M01,Cows,000 Tonnes,6.4
Weight of Livestock Slaughtered,1987M01,Heifers,000 Tonnes,8.1
Weight of Livestock Slaughtered,1987M01,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M01,Lambs,000 Tonnes,1.9
Weight of Livestock Slaughtered,1987M01,Cattle (Including Calves),000 Tonnes,33.7
Weight of Livestock Slaughtered,1987M01,Cattle without Calves,000 Tonnes,33.7
Weight of Livestock Slaughtered,1987M02,Sheep,000 Tonnes,3
Weight of Livestock Slaughtered,1987M02,Pigs,000 Tonnes,11.5
Weight of Livestock Slaughtered,1987M02,Bullocks,000 Tonnes,19.4
Weight of Livestock Slaughtered,1987M02,Bulls,000 Tonnes,0.2
Weight of Livestock Slaughtered,1987M02,Cows,000 Tonnes,5.2
Weight of Livestock Slaughtered,1987M02,Heifers,000 Tonnes,7.5
Weight of Livestock Slaughtered,1987M02,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M02,Lambs,000 Tonnes,1.8
Weight of Livestock Slaughtered,1987M02,Cattle (Including Calves),000 Tonnes,32.3
Weight of Livestock Slaughtered,1987M02,Cattle without Calves,000 Tonnes,32.3
Weight of Livestock Slaughtered,1987M03,Sheep,000 Tonnes,2.9
Weight of Livestock Slaughtered,1987M03,Pigs,000 Tonnes,12.3
Weight of Livestock Slaughtered,1987M03,Bullocks,000 Tonnes,21.3
Weight of Livestock Slaughtered,1987M03,Bulls,000 Tonnes,0.1
Weight of Livestock Slaughtered,1987M03,Cows,000 Tonnes,6.6
Weight of Livestock Slaughtered,1987M03,Heifers,000 Tonnes,9.3
Weight of Livestock Slaughtered,1987M03,Calves,000 Tonnes,0
Weight of Livestock Slaughtered,1987M03,Lambs,000 Tonnes,1.5
Weight of Livestock Slaughtered,1987M03,Cattle (Including Calves),000 Tonnes,37.4
Weight of Livestock Slaughtered,1987M03,Cattle without Calves,000 Tonnes,37.4
Weight of Livestock Slaughtered,1987M04,Sheep,000 Tonnes,3.1
Weight of Livestock Slaughtered,1987M04,Pigs,000 Tonnes,12.4
