Statistic,Month,Type of Animal,UNIT,VALUE
Number of Livestock Slaughtered,1976M02,Heifers,000 Head,
Number of Livestock Slaughtered,1976M02,Calves,000 Head,0.3
Number of Livestock Slaughtered,1976M02,Lambs,000 Head,
Number of Livestock Slaughtered,1976M02,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M02,Cattle without Calves,000 Head,94.6
Number of Livestock Slaughtered,1976M03,Sheep,000 Head,137.2
Number of Livestock Slaughtered,1976M03,Pigs,000 Head,145.7
Number of Livestock Slaughtered,1976M03,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M03,Bulls,000 Head,
Number of Livestock Slaughtered,1976M03,Cows,000 Head,
Number of Livestock Slaughtered,1976M03,Heifers,000 Head,
Number of Livestock Slaughtered,1976M03,Calves,000 Head,0.2
Number of Livestock Slaughtered,1976M03,Lambs,000 Head,
Number of Livestock Slaughtered,1976M03,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M03,Cattle without Calves,000 Head,96.9
Number of Livestock Slaughtered,1976M04,Sheep,000 Head,136.1
Number of Livestock Slaughtered,1976M04,Pigs,000 Head,134.2
Number of Livestock Slaughtered,1976M04,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M04,Bulls,000 Head,
Number of Livestock Slaughtered,1976M04,Cows,000 Head,
Number of Livestock Slaughtered,1976M04,Heifers,000 Head,
Number of Livestock Slaughtered,1976M04,Calves,000 Head,0.2
Number of Livestock Slaughtered,1976M04,Lambs,000 Head,
Number of Livestock Slaughtered,1976M04,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M04,Cattle without Calves,000 Head,97.2
Number of Livestock Slaughtered,1976M05,Sheep,000 Head,168.4
Number of Livestock Slaughtered,1976M05,Pigs,000 Head,135
Number of Livestock Slaughtered,1976M05,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M05,Bulls,000 Head,
Number of Livestock Slaughtered,1976M05,Cows,000 Head,
Number of Livestock Slaughtered,1976M05,Heifers,000 Head,
Number of Livestock Slaughtered,1976M05,Calves,000 Head,0.2
Number of Livestock Slaughtered,1976M05,Lambs,000 Head,
Number of Livestock Slaughtered,1976M05,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M05,Cattle without Calves,000 Head,100.7
Number of Livestock Slaughtered,1976M06,Sheep,000 Head,130
Number of Livestock Slaughtered,1976M06,Pigs,000 Head,143.9
Number of Livestock Slaughtered,1976M06,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M06,Bulls,000 Head,
Number of Livestock Slaughtered,1976M06,Cows,000 Head,
Number of Livestock Slaughtered,1976M06,Heifers,000 Head,
Number of Livestock Slaughtered,1976M06,Calves,000 Head,0.3
Number of Livestock Slaughtered,1976M06,Lambs,000 Head,
Number of Livestock Slaughtered,1976M06,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M06,Cattle without Calves,000 Head,84.9
Number of Livestock Slaughtered,1976M07,Sheep,000 Head,99.4
Number of Livestock Slaughtered,1976M07,Pigs,000 Head,143.9
Number of Livestock Slaughtered,1976M07,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M07,Bulls,000 Head,
Number of Livestock Slaughtered,1976M07,Cows,000 Head,
Number of Livestock Slaughtered,1976M07,Heifers,000 Head,
Number of Livestock Slaughtered,1976M07,Calves,000 Head,0.3
Number of Livestock Slaughtered,1976M07,Lambs,000 Head,
Number of Livestock Slaughtered,1976M07,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M07,Cattle without Calves,000 Head,79.3
Number of Livestock Slaughtered,1976M08,Sheep,000 Head,96.2
Number of Livestock Slaughtered,1976M08,Pigs,000 Head,165.2
Number of Livestock Slaughtered,1976M08,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M08,Bulls,000 Head,
Number of Livestock Slaughtered,1976M08,Cows,000 Head,
Number of Livestock Slaughtered,1976M08,Heifers,000 Head,
Number of Livestock Slaughtered,1976M08,Calves,000 Head,0.2
Number of Livestock Slaughtered,1976M08,Lambs,000 Head,
Number of Livestock Slaughtered,1976M08,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M08,Cattle without Calves,000 Head,111
Number of Livestock Slaughtered,1976M09,Sheep,000 Head,120.9
Number of Livestock Slaughtered,1976M09,Pigs,000 Head,185.3
Number of Livestock Slaughtered,1976M09,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M09,Bulls,000 Head,
Number of Livestock Slaughtered,1976M09,Cows,000 Head,
Number of Livestock Slaughtered,1976M09,Heifers,000 Head,
Number of Livestock Slaughtered,1976M09,Calves,000 Head,0.2
Number of Livestock Slaughtered,1976M09,Lambs,000 Head,
Number of Livestock Slaughtered,1976M09,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M09,Cattle without Calves,000 Head,133.2
Number of Livestock Slaughtered,1976M10,Sheep,000 Head,106.5
Number of Livestock Slaughtered,1976M10,Pigs,000 Head,164.6
Number of Livestock Slaughtered,1976M10,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M10,Bulls,000 Head,
Number of Livestock Slaughtered,1976M10,Cows,000 Head,
Number of Livestock Slaughtered,1976M10,Heifers,000 Head,
Number of Livestock Slaughtered,1976M10,Calves,000 Head,0.3
Number of Livestock Slaughtered,1976M10,Lambs,000 Head,
Number of Livestock Slaughtered,1976M10,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M10,Cattle without Calves,000 Head,126.5
Number of Livestock Slaughtered,1976M11,Sheep,000 Head,95.1
Number of Livestock Slaughtered,1976M11,Pigs,000 Head,177.9
Number of Livestock Slaughtered,1976M11,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M11,Bulls,000 Head,
Number of Livestock Slaughtered,1976M11,Cows,000 Head,
Number of Livestock Slaughtered,1976M11,Heifers,000 Head,
Number of Livestock Slaughtered,1976M11,Calves,000 Head,0.5
Number of Livestock Slaughtered,1976M11,Lambs,000 Head,
Number of Livestock Slaughtered,1976M11,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M11,Cattle without Calves,000 Head,142.5
Number of Livestock Slaughtered,1976M12,Sheep,000 Head,100
Number of Livestock Slaughtered,1976M12,Pigs,000 Head,157.8
Number of Livestock Slaughtered,1976M12,Bullocks,000 Head,
Number of Livestock Slaughtered,1976M12,Bulls,000 Head,
Number of Livestock Slaughtered,1976M12,Cows,000 Head,
Number of Livestock Slaughtered,1976M12,Heifers,000 Head,
Number of Livestock Slaughtered,1976M12,Calves,000 Head,0.6
Number of Livestock Slaughtered,1976M12,Lambs,000 Head,
Number of Livestock Slaughtered,1976M12,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1976M12,Cattle without Calves,000 Head,110.5
Number of Livestock Slaughtered,1977M01,Sheep,000 Head,111
Number of Livestock Slaughtered,1977M01,Pigs,000 Head,164.4
Number of Livestock Slaughtered,1977M01,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M01,Bulls,000 Head,
Number of Livestock Slaughtered,1977M01,Cows,000 Head,
Number of Livestock Slaughtered,1977M01,Heifers,000 Head,
Number of Livestock Slaughtered,1977M01,Calves,000 Head,0.5
Number of Livestock Slaughtered,1977M01,Lambs,000 Head,
Number of Livestock Slaughtered,1977M01,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M01,Cattle without Calves,000 Head,95.9
Number of Livestock Slaughtered,1977M02,Sheep,000 Head,111.7
Number of Livestock Slaughtered,1977M02,Pigs,000 Head,161.4
Number of Livestock Slaughtered,1977M02,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M02,Bulls,000 Head,
Number of Livestock Slaughtered,1977M02,Cows,000 Head,
Number of Livestock Slaughtered,1977M02,Heifers,000 Head,
Number of Livestock Slaughtered,1977M02,Calves,000 Head,0.3
Number of Livestock Slaughtered,1977M02,Lambs,000 Head,
Number of Livestock Slaughtered,1977M02,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M02,Cattle without Calves,000 Head,90.7
Number of Livestock Slaughtered,1977M03,Sheep,000 Head,116.6
Number of Livestock Slaughtered,1977M03,Pigs,000 Head,186.5
Number of Livestock Slaughtered,1977M03,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M03,Bulls,000 Head,
Number of Livestock Slaughtered,1977M03,Cows,000 Head,
Number of Livestock Slaughtered,1977M03,Heifers,000 Head,
Number of Livestock Slaughtered,1977M03,Calves,000 Head,0.2
Number of Livestock Slaughtered,1977M03,Lambs,000 Head,
Number of Livestock Slaughtered,1977M03,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M03,Cattle without Calves,000 Head,86.7
Number of Livestock Slaughtered,1977M04,Sheep,000 Head,120.5
Number of Livestock Slaughtered,1977M04,Pigs,000 Head,154.7
Number of Livestock Slaughtered,1977M04,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M04,Bulls,000 Head,
Number of Livestock Slaughtered,1977M04,Cows,000 Head,
Number of Livestock Slaughtered,1977M04,Heifers,000 Head,
Number of Livestock Slaughtered,1977M04,Calves,000 Head,0.3
Number of Livestock Slaughtered,1977M04,Lambs,000 Head,
Number of Livestock Slaughtered,1977M04,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M04,Cattle without Calves,000 Head,87.4
Number of Livestock Slaughtered,1977M05,Sheep,000 Head,118.8
Number of Livestock Slaughtered,1977M05,Pigs,000 Head,159.4
Number of Livestock Slaughtered,1977M05,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M05,Bulls,000 Head,
Number of Livestock Slaughtered,1977M05,Cows,000 Head,
Number of Livestock Slaughtered,1977M05,Heifers,000 Head,
Number of Livestock Slaughtered,1977M05,Calves,000 Head,0.3
Number of Livestock Slaughtered,1977M05,Lambs,000 Head,
Number of Livestock Slaughtered,1977M05,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M05,Cattle without Calves,000 Head,100.1
Number of Livestock Slaughtered,1977M06,Sheep,000 Head,112.6
Number of Livestock Slaughtered,1977M06,Pigs,000 Head,158.2
Number of Livestock Slaughtered,1977M06,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M06,Bulls,000 Head,
Number of Livestock Slaughtered,1977M06,Cows,000 Head,
Number of Livestock Slaughtered,1977M06,Heifers,000 Head,
Number of Livestock Slaughtered,1977M06,Calves,000 Head,0.2
Number of Livestock Slaughtered,1977M06,Lambs,000 Head,
Number of Livestock Slaughtered,1977M06,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M06,Cattle without Calves,000 Head,106.6
Number of Livestock Slaughtered,1977M07,Sheep,000 Head,100
Number of Livestock Slaughtered,1977M07,Pigs,000 Head,151.7
Number of Livestock Slaughtered,1977M07,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M07,Bulls,000 Head,
Number of Livestock Slaughtered,1977M07,Cows,000 Head,
Number of Livestock Slaughtered,1977M07,Heifers,000 Head,
Number of Livestock Slaughtered,1977M07,Calves,000 Head,0.3
Number of Livestock Slaughtered,1977M07,Lambs,000 Head,
Number of Livestock Slaughtered,1977M07,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M07,Cattle without Calves,000 Head,109
Number of Livestock Slaughtered,1977M08,Sheep,000 Head,137.8
Number of Livestock Slaughtered,1977M08,Pigs,000 Head,171.9
Number of Livestock Slaughtered,1977M08,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M08,Bulls,000 Head,
Number of Livestock Slaughtered,1977M08,Cows,000 Head,
Number of Livestock Slaughtered,1977M08,Heifers,000 Head,
Number of Livestock Slaughtered,1977M08,Calves,000 Head,0.3
Number of Livestock Slaughtered,1977M08,Lambs,000 Head,
Number of Livestock Slaughtered,1977M08,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M08,Cattle without Calves,000 Head,140.4
Number of Livestock Slaughtered,1977M09,Sheep,000 Head,155.3
Number of Livestock Slaughtered,1977M09,Pigs,000 Head,166.8
Number of Livestock Slaughtered,1977M09,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M09,Bulls,000 Head,
Number of Livestock Slaughtered,1977M09,Cows,000 Head,
Number of Livestock Slaughtered,1977M09,Heifers,000 Head,
Number of Livestock Slaughtered,1977M09,Calves,000 Head,0.3
Number of Livestock Slaughtered,1977M09,Lambs,000 Head,
Number of Livestock Slaughtered,1977M09,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M09,Cattle without Calves,000 Head,165
Number of Livestock Slaughtered,1977M10,Sheep,000 Head,122.9
Number of Livestock Slaughtered,1977M10,Pigs,000 Head,157.6
Number of Livestock Slaughtered,1977M10,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M10,Bulls,000 Head,
Number of Livestock Slaughtered,1977M10,Cows,000 Head,
Number of Livestock Slaughtered,1977M10,Heifers,000 Head,
Number of Livestock Slaughtered,1977M10,Calves,000 Head,1.2
Number of Livestock Slaughtered,1977M10,Lambs,000 Head,
Number of Livestock Slaughtered,1977M10,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M10,Cattle without Calves,000 Head,161.9
Number of Livestock Slaughtered,1977M11,Sheep,000 Head,131.2
Number of Livestock Slaughtered,1977M11,Pigs,000 Head,166.6
Number of Livestock Slaughtered,1977M11,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M11,Bulls,000 Head,
Number of Livestock Slaughtered,1977M11,Cows,000 Head,
Number of Livestock Slaughtered,1977M11,Heifers,000 Head,
Number of Livestock Slaughtered,1977M11,Calves,000 Head,0.3
Number of Livestock Slaughtered,1977M11,Lambs,000 Head,
Number of Livestock Slaughtered,1977M11,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1977M11,Cattle without Calves,000 Head,176.5
Number of Livestock Slaughtered,1977M12,Sheep,000 Head,118.5
Number of Livestock Slaughtered,1977M12,Pigs,000 Head,153.5
Number of Livestock Slaughtered,1977M12,Bullocks,000 Head,
Number of Livestock Slaughtered,1977M12,Bulls,000 Head,
Number of Livestock Slaughtered,1977M12,Cows,000 Head,
Number of Livestock Slaughtered,1977M12,Heifers,000 Head,
Number of Livestock Slaughtered,1977M12,Calves,000 Head,0.2
Number of Livestock Slaughtered,1977M12,Lambs,000 Head,
Number of Livestock Slaughtered,1977M12,Cattle (Including Calves),000 Head,
